City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
265,melenci,45.5139,20.3172,289.44,93,Rain,2.22,RS,1686847338
266,san julian,21.0167,-102.1667,300.99,25,Clouds,2.06,MX,1686847339
267,khabary,53.6259,79.5345,289.44,51,Clouds,3.72,RU,1686847340
268,umarkot,25.3616,69.7362,304.03,57,Rain,9.41,PK,1686847341
269,luderitz,-26.6481,15.1594,287.76,84,Clear,4.11,NA,1686847342
270,gueret,46.1667,1.8667,290.24,88,Clouds,3.21,FR,1686847343
271,lata,40.1629,-8.3327,305.88,48,Clouds,4.53,PT,1686847345
272,vila franca do campo,37.7167,-25.4333,294.38,79,Clouds,5.18,PT,1686847346
273,rocha,-34.4833,-54.3333,288.94,50,Clear,2.54,UY,1686847346
274,pingdu,36.7844,119.9464,294.11,67,Clouds,4.95,CN,1686847348
275,senador guiomard,-10.1522,-67.7392,290.01,53,Clouds,2.06,BR,1686847348
276,bulungu,-4.55,18.6,301.2,56,Clouds,0.18,CD,1686847351
277,sulya,12.5667,75.3833,298.83,90,Clouds,0.39,IN,1686847351
278,victoria falls,-17.9235,25.843,291.38,13,Clear,1.42,ZW,1686847352
279,yaren,-0.5472,166.916,301.81,78,Rain,5.02,NR,1686847352
280,dingli,35.8614,14.3822,296.24,64,Clouds,8.75,MT,1686847352
281,rongelap,11.1635,166.8941,301.02,78,Clouds,9.7,MH,1686847353
282,amungan,15.3652,119.9582,300.15,86,Clouds,1.13,PH,1686847353
283,yilan,24.757,121.753,298.16,97,Rain,0.57,TW,1686847353
284,lihue,21.9789,-159.3672,295.92,89,Rain,5.66,US,1686847354
285,west side highway,46.184,-122.9172,288.03,73,Clouds,2.06,US,1686847354
286,vilhena,-12.7406,-60.1458,291.27,77,Clear,4.12,BR,1686847122
287,susuman,62.7833,148.1667,286.28,69,Clouds,2.14,RU,1686847355
288,kirkwall,58.9848,-2.9587,292.18,52,Clear,5.66,GB,1686847356
289,labytnangi,66.6572,66.4183,279.77,84,Clouds,7.17,RU,1686847357
290,hasaki,35.7333,140.8333,294.38,97,Rain,10.0,JP,1686847358
291,amursk,50.2261,136.8994,285.49,80,Clouds,0.39,RU,1686847359
292,jutai,-5.1833,-68.9,298.25,57,Clouds,2.37,BR,1686847360
293,sattahip,12.6664,100.9007,302.58,83,Clouds,3.09,TH,1686847360
294,diamantino,-14.4086,-56.4461,291.47,65,Clouds,2.65,BR,1686847098
295,pratapgarh,24.0333,74.7833,302.69,55,Clouds,9.49,IN,1686847349
296,kitimat,54.0524,-128.6534,288.53,66,Clouds,2.68,CA,1686847363
297,broken hill,-31.95,141.4333,282.23,63,Clear,4.16,AU,1686847363
298,sandpoint,48.2766,-116.5533,290.22,66,Clouds,2.06,US,1686847360
299,tonghua,41.7201,125.9219,289.14,92,Clouds,1.35,CN,1686847364
300,chivhu,-19.0211,30.8922,286.98,14,Clear,2.0,ZW,1686847364
301,tanjungtiram,4.0613,98.3699,298.68,89,Clouds,1.87,ID,1686847365
302,cordele,31.9635,-83.7824,293.14,88,Rain,2.06,US,1686847365
303,lai chau,22.3997,103.4517,294.38,98,Rain,0.69,VN,1686847365
304,kingston,17.997,-76.7936,306.62,57,Clouds,10.8,JM,1686847366
305,ruidoso,33.3317,-105.673,296.9,15,Clear,8.75,US,1686847366
306,weno,7.4515,151.8468,300.12,94,Clouds,1.54,FM,1686847366
307,fort mcmurray,56.7268,-111.381,284.92,93,Rain,4.12,CA,1686847297
308,mudgee,-32.5943,149.5871,276.18,93,Clear,1.25,AU,1686847367
309,tayu,-6.5397,111.0518,298.96,85,Clouds,3.44,ID,1686847367
310,san antonio de pale,-1.4014,5.6325,298.09,82,Clouds,6.53,GQ,1686847368
311,the pas,53.8251,-101.2541,289.16,77,Clouds,7.2,CA,1686847368
312,iskateley,67.6803,53.1512,277.49,71,Clouds,11.31,RU,1686847368
313,hjo,58.3013,14.2878,299.27,34,Clear,2.37,SE,1686847279
314,hamilton,39.1834,-84.5333,300.7,61,Clear,3.09,US,1686847310
315,podporozh'ye,60.9112,34.1706,293.6,47,Clear,2.86,RU,1686847371
316,chonchi,-42.6128,-73.8092,283.22,69,Clouds,2.73,CL,1686847372
317,port douglas,-16.4833,145.4667,295.44,82,Clouds,1.62,AU,1686847373
318,santa cruz,-17.8,-63.1667,292.18,34,Clouds,4.63,BO,1686847099
319,laguna,38.421,-121.4238,299.24,67,Clear,2.06,US,1686847375
320,acarau,-2.8856,-40.12,302.4,68,Clouds,6.09,BR,1686847376
321,arkhara,49.4212,130.0842,287.46,68,Clouds,2.34,RU,1686847377
322,kavieng,-2.5744,150.7967,299.59,81,Clouds,2.41,PG,1686847378
323,east falmouth,41.5784,-70.5586,296.69,76,Clouds,3.6,US,1686847379
324,bilajer,40.5681,50.0378,297.05,78,Clouds,7.2,AZ,1686847380
325,harper,4.375,-7.7169,300.77,64,Clouds,3.26,LR,1686847380
326,ardakan,32.31,54.0175,309.44,10,Clear,2.8,IR,1686847383
327,dalandzadgad,43.5708,104.425,298.33,14,Clouds,5.9,MN,1686847384
328,mindelo,16.8901,-24.9804,301.9,51,Clouds,9.26,CV,1686847385
329,lima,-12.0432,-77.0282,294.29,64,Clouds,5.66,PE,1686847136
330,balykshi,47.0667,51.8667,306.15,15,Clear,4.0,KZ,1686847388
331,velyka oleksandrivka,47.3197,33.3037,294.43,76,Clouds,3.33,UA,1686847390
332,mar del plata,-38.0023,-57.5575,287.01,52,Clear,8.23,AR,1686847390
333,pimentel,-6.8367,-79.9342,299.31,57,Clear,5.14,PE,1686847391
334,nanma,36.1817,118.1583,296.56,49,Clear,2.06,CN,1686847392
335,petawawa,45.9001,-77.3328,293.92,64,Clouds,5.66,CA,1686847393
336,novoarkhanhel's'k,48.658,30.8182,294.5,76,Rain,3.02,UA,1686847394
337,kaiyuan,23.6977,103.3037,293.01,96,Clouds,2.05,CN,1686847394
338,big bear city,34.2611,-116.845,293.89,34,Clear,3.09,US,1686847294
339,varzea alegre,-5.35,-40.3833,303.54,47,Clouds,3.38,BR,1686847396
